,State,Court,Number of Judgeships,Number of Districts/Circuits,Geographic Basis for Selection,Method of Selection (full term),Length of Term,Method of Retention,Length of Subsequent Terms,Method of Filling Interim Vacancies,When Interim Judges Stand for Election/Appointment,Selection of Chief Judge/Justice,Term of Office for Chief Judge/Justice,Qualifications,Source
84,Nevada,Supreme Court:,7,---,statewide,nonpartisan election,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,next general election; serve for remainder of unexpired term,rotates by seniority,2 yrs,"qualified elector; 2 yrs state resident; minimum age of 25; licensed and admitted to practice law in NV; 15 yrs licensed attorney, at least 2 in NV","['Selection and retention methods and term lengths are prescribed by Article 6 of the Nevada Constitution.', '*A chief judge is required in districts with a population of 100,000 or more, and in such districts, chief judges are chosen by peer vote. In other districts, a chief judge may be selected as needed.']"
85,Nevada,District Court:,72,9,district,nonpartisan election,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission,next general election; serve for remainder of unexpired term,peer vote*,2 yrs*,"qualified elector; 2 yrs state resident; district resident; minimum age of 25; licensed and admitted to practice law in NV; 10 yrs licensed attorney, at least 2 in NV","['Selection and retention methods and term lengths are prescribed by Article 6 of the Nevada Constitution.', '*A chief judge is required in districts with a population of 100,000 or more, and in such districts, chief judges are chosen by peer vote. In other districts, a chief judge may be selected as needed.']"
86,New Hampshire,Supreme Court:,5,--,statewide,gubernatorial nomination from selection commission recommendation; appointment by the executive council*,to age 70,N/A,N/A,gubernatorial nomination from selection commission recommendation; appointment by the executive council*,N/A,gubernatorial nomination from selection commission recommendation; appointment by the executive council*,5 yrs or to age 70,mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Articles 46and 73of the New Hampshire Constitution and Executive Order 2013-6. ', '*The executive council is a constitutionally authorized, five-member body charged with advising the governor. Council members are chosen every two years in partisan elections. ']"
87,New Hampshire,Superior Court:,22,--,statewide,gubernatorial nomination from selection commission recommendation; appointment by the executive council*,to age 70,N/A,N/A,gubernatorial nomination from selection commission recommendation; appointment by the executive council*,N/A,gubernatorial nomination from selection commission recommendation; appointment by the executive council*,to age 70,mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Articles 46and 73of the New Hampshire Constitution and Executive Order 2013-6. ', '*The executive council is a constitutionally authorized, five-member body charged with advising the governor. Council members are chosen every two years in partisan elections. ']"
88,New Jersey,Supreme Court:,7,--,statewide,gubernatorial appointment with senate confirmation,7 yrs,gubernatorial reappointment with senate confirmation,until age 70,gubernatorial reappointment with senate confirmation,7 yrs,gubernatorial appointment with senate confirmation,duration of service,admitted to state practice for 10 yrs; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article VI, Section VI of the New Jersey Constitution. ', '*Vicinage is from the Latin vicinus and means vicinity or neighborhood.In New Jersey, there are 15 vicinages and 21 counties.A vicinage consists of one county in more populous areas and two or three counties in less populous areas. ', '**The chief justice of the supreme court assigns superior court judges to the appellate division.Such assignments are for fixed terms. ', '***According to Executive Order #36, Governor Christie utilizes a judicial advisory panel in screening potential nominees for superior court judgeships. The judicial advisory panel is composed of up toseven members, at least five of whom must be retired judges and no more than two of whom may be non-lawyers or non-practicing lawyers. Panel members serve five-year terms. ', 'According to a compact with the governor, the judicial and prosecutorial appointments committee of the New Jersey State Bar Association conducts a confidential review of potential candidates for appointment and reappointment to the courts and rates them as “qualified” or “not qualified.” In most counties, senators allow county bar associations to be involved in identifying and screening potential judicial candidates. ']"
89,New Jersey,"Appellate Division, Superior Court:",34,--,**,**,**,**,**,**,**,designated by chief justice,indefinite,**,"['Selection and retention methods and term lengths are prescribed by Article VI, Section VI of the New Jersey Constitution. ', '*Vicinage is from the Latin vicinus and means vicinity or neighborhood.In New Jersey, there are 15 vicinages and 21 counties.A vicinage consists of one county in more populous areas and two or three counties in less populous areas. ', '**The chief justice of the supreme court assigns superior court judges to the appellate division.Such assignments are for fixed terms. ', '***According to Executive Order #36, Governor Christie utilizes a judicial advisory panel in screening potential nominees for superior court judgeships. The judicial advisory panel is composed of up toseven members, at least five of whom must be retired judges and no more than two of whom may be non-lawyers or non-practicing lawyers. Panel members serve five-year terms. ', 'According to a compact with the governor, the judicial and prosecutorial appointments committee of the New Jersey State Bar Association conducts a confidential review of potential candidates for appointment and reappointment to the courts and rates them as “qualified” or “not qualified.” In most counties, senators allow county bar associations to be involved in identifying and screening potential judicial candidates. ']"
90,New Jersey,Superior Court:,371,15 vicinages*,county,gubernatorial appointment with senate confirmation***,7 yrs,gubernatorial reappointment with senate confirmation,until age 70,gubernatorial reappointment with senate confirmation,7 yrs,designated by chief justice,indefinite,admitted to state practice for 10 yrs; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article VI, Section VI of the New Jersey Constitution. ', '*Vicinage is from the Latin vicinus and means vicinity or neighborhood.In New Jersey, there are 15 vicinages and 21 counties.A vicinage consists of one county in more populous areas and two or three counties in less populous areas. ', '**The chief justice of the supreme court assigns superior court judges to the appellate division.Such assignments are for fixed terms. ', '***According to Executive Order #36, Governor Christie utilizes a judicial advisory panel in screening potential nominees for superior court judgeships. The judicial advisory panel is composed of up toseven members, at least five of whom must be retired judges and no more than two of whom may be non-lawyers or non-practicing lawyers. Panel members serve five-year terms. ', 'According to a compact with the governor, the judicial and prosecutorial appointments committee of the New Jersey State Bar Association conducts a confidential review of potential candidates for appointment and reappointment to the courts and rates them as “qualified” or “not qualified.” In most counties, senators allow county bar associations to be involved in identifying and screening potential judicial candidates. ']"
91,New Mexico,Supreme Court:,5,--,statewide,partisan election*,remainder of unexpired term*,retention election**,8 yrs,gubernatorial appointment from nominating commission,next general election*,peer vote***,2 yrs,minimum age of 35; 10 yrs legal practice; state resident 3 yrs,"['Selection and retention methods and term lengths are prescribed by Article VI of the New Mexico Constitution. ', '*All judicial vacancies are filled by the governor from a list of candidates recommended by a judicial nominating commission. The appointee must then compete in a partisan election at the next general election to serve the remainder of the unexpired term. ', '**Judges must receive at least 57% in affirmative votes to be retained. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
92,New Mexico,Court of Appeals:,10,--,statewide,partisan election*,remainder of unexpired term*,retention election**,8 yrs,gubernatorial appointment from nominating commission,next general election*,peer vote,2 yrs,minimum age of 35; 10 yrs legal practice; state resident 3 yrs,"['Selection and retention methods and term lengths are prescribed by Article VI of the New Mexico Constitution. ', '*All judicial vacancies are filled by the governor from a list of candidates recommended by a judicial nominating commission. The appointee must then compete in a partisan election at the next general election to serve the remainder of the unexpired term. ', '**Judges must receive at least 57% in affirmative votes to be retained. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
93,New Mexico,District Court:,84,13,district,partisan election*,remainder of unexpired term*,retention election**,6 yrs,gubernatorial appointment from nominating commission,next general election*,varies by district,varies by district,minimum age of 35; 6 yrs legal practice; state resident 3 yrs; district resident,"['Selection and retention methods and term lengths are prescribed by Article VI of the New Mexico Constitution. ', '*All judicial vacancies are filled by the governor from a list of candidates recommended by a judicial nominating commission. The appointee must then compete in a partisan election at the next general election to serve the remainder of the unexpired term. ', '**Judges must receive at least 57% in affirmative votes to be retained. ', '***By tradition, the court elects the most senior justice who has not yet held the position. ']"
94,New York,Court of Appeals:,7,--,statewide,gubernatorial appointment from nominating commission with senate consent,14 yrs,gubernatorial appointment from nominating commission with senate consent,14 yrs,gubernatorial apppointment from nominating commission with senate consent,14 yrs,gubernatorial appointment from nominating commission with senate consent,14 yrs,state resident; state practice > 10 yrs; mandatory retirement age of 70,"['Selection andretention methods and term lengths are prescribed by Article VI of the New York Constitutionand by Executive Order No. 15. ', '*The presiding justice of each appellate division must be a resident of the department. ', '**Justices of the appellate division are chosen from all justices elected to the supreme court. ', '***Candidates are chosen at partisan nominating conventions. ', '****The chief administrative judge of New York appoints one deputy chief administrative judge to supervise the trial courts of New York City and one to supervise trial courts outside New York City. Administrative judges are also assigned in each judicial district and in each of the major New York City courts. ']"
95,New York,"Appellate Division, Supreme Court:",60,4 departments,statewide*,gubernatorial appointment from nominating commission**,"5 yrs or through end of supreme court term, whichever is shorter",gubernatorial appointment from nominating commission**,5 yrs,gubernatorial appointment from nominating commission**,"serve 5 yrs or through end of supreme court term, whichever is shorter",gubernatorial appointment from nominating commission,serves through end of supreme court term,state resident; state practice > 10 yrs; minimum age of 18; mandatory retirement ae of 70,"['Selection andretention methods and term lengths are prescribed by Article VI of the New York Constitutionand by Executive Order No. 15. ', '*The presiding justice of each appellate division must be a resident of the department. ', '**Justices of the appellate division are chosen from all justices elected to the supreme court. ', '***Candidates are chosen at partisan nominating conventions. ', '****The chief administrative judge of New York appoints one deputy chief administrative judge to supervise the trial courts of New York City and one to supervise trial courts outside New York City. Administrative judges are also assigned in each judicial district and in each of the major New York City courts. ']"
96,New York,Supreme Court:,324,12 districts,district,partisan election***,14 yrs,reelection,14 yrs,gubernatorial appointment from nominatng commission with senate consent,next general election more than 3 months after vacancy,****,****,state resident; state practice > 10 yrs; minimum age of 18; mandatory retirement age of 70,"['Selection andretention methods and term lengths are prescribed by Article VI of the New York Constitutionand by Executive Order No. 15. ', '*The presiding justice of each appellate division must be a resident of the department. ', '**Justices of the appellate division are chosen from all justices elected to the supreme court. ', '***Candidates are chosen at partisan nominating conventions. ', '****The chief administrative judge of New York appoints one deputy chief administrative judge to supervise the trial courts of New York City and one to supervise trial courts outside New York City. Administrative judges are also assigned in each judicial district and in each of the major New York City courts. ']"
97,New York,County Court:,125,57 counties outside NYC,county,partisan election,10 yrs,reelection,10 yrs,gubernatorial appointment from nominating commission with senate consent,next general election more than 3 months after vacancy,****,****,state resident; county resident; state practice > 5 yrs; minimum age of 18; mandatory retirement age of 70,"['Selection andretention methods and term lengths are prescribed by Article VI of the New York Constitutionand by Executive Order No. 15. ', '*The presiding justice of each appellate division must be a resident of the department. ', '**Justices of the appellate division are chosen from all justices elected to the supreme court. ', '***Candidates are chosen at partisan nominating conventions. ', '****The chief administrative judge of New York appoints one deputy chief administrative judge to supervise the trial courts of New York City and one to supervise trial courts outside New York City. Administrative judges are also assigned in each judicial district and in each of the major New York City courts. ']"
98,North Carolina,Supreme Court:,7,--,statewide,partisan election,8 yrs,reelection,8 yrs,gubernatorial appointment,next general election more than 60 days after vacancy occurred,nonpartisan election,8 yrs,licensed to practice law in state; mandatory retirement age of 72,"[' Selection and retention methods and term lengths are prescribed by Article IV of the North Carolina Constitution.  ', ' *The superior court is also divided into eight divisions. Every six months, superior court judges rotate among the districts within their division  ']"
99,North Carolina,Court of Appeals:,15,--,statewide,partisan election,8 yrs,reelection,8 yrs,gubernatorial appointment,next general election more than 60 days after vacancy occurred,chief justice appoints,indefinite,licensed to practice law in state; mandatory retirement age of 72,"[' Selection and retention methods and term lengths are prescribed by Article IV of the North Carolina Constitution.  ', ' *The superior court is also divided into eight divisions. Every six months, superior court judges rotate among the districts within their division  ']"
100,North Carolina,Superior Court:,95,65*,district,nonpartisan election,8 yrs,reelection,8 yrs,merit selection,next general election more than 60 days after vacancy occurred; serve remainder of unexpired term,seniority,indefinite,licensed to practice law in state; mandatory retirement age of 72,"[' Selection and retention methods and term lengths are prescribed by Article IV of the North Carolina Constitution.  ', ' *The superior court is also divided into eight divisions. Every six months, superior court judges rotate among the districts within their division  ']"
101,North Dakota,Supreme Court:,5,---,statewide,nonpartisan election**,10 yrs,reelection,10 yrs,gubernatorial appointment from nominating commission***,next general election after 2 yrs in office; hold office for remainder of unexpired term,selected by judges of supreme court and district courts,5 yrs,U.S. and state citizen; licensed attorney,"['Selection and retention methods and term lengths are prescribed by Article VI of the North Dakota Constitution.', '*Cases assigned to the court of appeals by the supreme court are heard by three-judge panels. ', '**The two candidates receiving the highest number of votes in the primary election run in the general election, provided that each candidate receives at least as many votes as the number of signatures required to be placed on the primary ballot. ', '***In the alternative, the governor may call a special election to fill the vacancy ']"
102,North Dakota,Court of Appeals:,*,---,---,"chosen from among active and retired district judges, retired supreme court justices, and attorneys",up to 1 yr,---,---,---,---,---,---,---,"['Selection and retention methods and term lengths are prescribed by Article VI of the North Dakota Constitution.', '*Cases assigned to the court of appeals by the supreme court are heard by three-judge panels. ', '**The two candidates receiving the highest number of votes in the primary election run in the general election, provided that each candidate receives at least as many votes as the number of signatures required to be placed on the primary ballot. ', '***In the alternative, the governor may call a special election to fill the vacancy ']"
103,North Dakota,District Court:,42,7,district,nonpartisan election**,6 yrs,reelection,6 yrs,gubernatorial appointment from nominating commission***,next general election after 2 yrs in office; hold office for remainder of unexpired term,elected by judges in each district,3 yrs,U.S. and state citizen; licensed attorney,"['Selection and retention methods and term lengths are prescribed by Article VI of the North Dakota Constitution.', '*Cases assigned to the court of appeals by the supreme court are heard by three-judge panels. ', '**The two candidates receiving the highest number of votes in the primary election run in the general election, provided that each candidate receives at least as many votes as the number of signatures required to be placed on the primary ballot. ', '***In the alternative, the governor may call a special election to fill the vacancy ']"
104,Ohio,Supreme Court:,7,--,statewide,partisan primary; nonpartisan general election,6 yrs,reelection,6 yrs,gubernatorial appointment*,at the first general election held more than 40 days after the vacancy occurs; hold office for remainder of unexpired term**,popular election,6 yrs,6 yrs practice of law; maximum age of 70,"['Selection and retention methods and judicial term lengths are prescribed in Article 6 of the Ohio Constitution. ', '*In 2007, Governor Strickland created a judicial appointments recommendation panel toevaluate the qualifications of applicants for judicial vacancies and make non-binding recommendations for appointment. ', '**When the unexpired term ends within one year immediately following the next general election, the appointment is for the unexpired term. ']"
105,Ohio,Court of Appeals:,68,12,appellate district,partisan primary; nonpartisan general election,6 yrs,reelection,6 yrs,gubernatorial appointment*,at the first general election held more than 40 days after the vacancy occurs; hold office for remainder of unexpired term**,peer vote,1 yr,6 yrs practice of law; resident of district; maximum age of 70,"['Selection and retention methods and judicial term lengths are prescribed in Article 6 of the Ohio Constitution. ', '*In 2007, Governor Strickland created a judicial appointments recommendation panel toevaluate the qualifications of applicants for judicial vacancies and make non-binding recommendations for appointment. ', '**When the unexpired term ends within one year immediately following the next general election, the appointment is for the unexpired term. ']"
106,Ohio,Court of Common Pleas:,391,88,county,partisan primary; nonpartisan general election,6 yrs,reelection,6 yrs,gubernatorial appointment*,at the first general election held more than 40 days after the vacancy occurs; hold office for remainder of unexpired term**,peer vote,1 yr,6 yrs practice of law; resident of county; maximum age of 70,"['Selection and retention methods and judicial term lengths are prescribed in Article 6 of the Ohio Constitution. ', '*In 2007, Governor Strickland created a judicial appointments recommendation panel toevaluate the qualifications of applicants for judicial vacancies and make non-binding recommendations for appointment. ', '**When the unexpired term ends within one year immediately following the next general election, the appointment is for the unexpired term. ']"
107,Oklahoma,Supreme Court:,9,9,district,gubernatorial appointment through nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election; hold office for remainder of unexpired term,peer vote,2 yrs,30 yrs of age; qualified elector in district > 1 yr; licensed to practice or judge of court of record > 5 yrs,"['Selection and retention methods and term lengths are prescribed by Articles 7 and 7B of the Oklahoma Constitutionand Title 20, Section 30-18 of the Oklahoma Statutes. ', '*Number does not include district associate judges and special judges. ', '**A nonpartisan primary is held if more than two candidates file for a district court judgeship. If a candidate wins a majority of votes in the primary, the candidate is elected and does not run in the general election. ']"
108,Oklahoma,Court of Criminal Appeals:,5,5,district,gubernatorial appointment through nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election; hold office for remainder of unexpired term,peer vote,2 yrs,30 yrs of age; qualified elector in district > 1 yr; licensed to practice or judge of court of record > 5 yrs,"['Selection and retention methods and term lengths are prescribed by Articles 7 and 7B of the Oklahoma Constitutionand Title 20, Section 30-18 of the Oklahoma Statutes. ', '*Number does not include district associate judges and special judges. ', '**A nonpartisan primary is held if more than two candidates file for a district court judgeship. If a candidate wins a majority of votes in the primary, the candidate is elected and does not run in the general election. ']"
109,Oklahoma,Court of Civil Appeals:,12,6,district,gubernatorial appointment through nominating commission,at least 1 yr,retention election,6 yrs,gubernatorial appointment from nominating commission,next general election; hold office for remainder of unexpired term,peer vote,1 yr,qualified elector in district > 1 yr; licensed to practice or  judge of court of record > 4 yrs,"['Selection and retention methods and term lengths are prescribed by Articles 7 and 7B of the Oklahoma Constitutionand Title 20, Section 30-18 of the Oklahoma Statutes. ', '*Number does not include district associate judges and special judges. ', '**A nonpartisan primary is held if more than two candidates file for a district court judgeship. If a candidate wins a majority of votes in the primary, the candidate is elected and does not run in the general election. ']"
110,Oklahoma,District Court:,75*,26,district,nonpartisan election**,4 yrs,reelection,4 yrs,gubernatorial appointment from nominating commission,next general election; hold office for remainder of unexpired term,peer vote,1 yr,qualified elector in district > 1 yr; licensed to practice or  judge of court of record > 4 yrs,"['Selection and retention methods and term lengths are prescribed by Articles 7 and 7B of the Oklahoma Constitutionand Title 20, Section 30-18 of the Oklahoma Statutes. ', '*Number does not include district associate judges and special judges. ', '**A nonpartisan primary is held if more than two candidates file for a district court judgeship. If a candidate wins a majority of votes in the primary, the candidate is elected and does not run in the general election. ']"
111,Oregon,Supreme Court:,7,--,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election more than 60 days after appointment,peer vote,6 yrs,U.S. citizen; state resident 3 yrs; state bar member; mandatory retirement age of 75,"['Selection and retention methods and term lengths are prescribed byArticle VII (Amended) of the OregonConstitution. ', '*The two candidates receiving the greatest number of votes in the primary election compete in the general election. ', ""+Incumbency is designated on the ballot by the word 'Incumbent' underneath the name of the current judge in the position up for reelection. ""]"
112,Oregon,Court of Appeals:,10,--,statewide,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election more than 60 days after appointment,chief justice appoints,2 yrs,elector of county of residence; state bar member; mandatory retirement age of 75,"['Selection and retention methods and term lengths are prescribed byArticle VII (Amended) of the OregonConstitution. ', '*The two candidates receiving the greatest number of votes in the primary election compete in the general election. ', ""+Incumbency is designated on the ballot by the word 'Incumbent' underneath the name of the current judge in the position up for reelection. ""]"
113,Oregon,Circuit Court:,173,27,district,nonpartisan election*+,6 yrs,reelection,6 yrs,gubernatorial appointment,next general election more than 60 days after appointment,chief justice appoints,2 yrs,U.S. citizen; state resident 3 yrs; circuit resident 1 yr; state bar member; mandatory retirement age of 75,"['Selection and retention methods and term lengths are prescribed byArticle VII (Amended) of the OregonConstitution. ', '*The two candidates receiving the greatest number of votes in the primary election compete in the general election. ', ""+Incumbency is designated on the ballot by the word 'Incumbent' underneath the name of the current judge in the position up for reelection. ""]"
114,Pennsylvania,Supreme Court:,7,1,statewide,partisan election*,10 yrs,retention election,10 yrs,gubernatorial appointment with two-thirds senate approval,next municipal election more than 10 mos after vacancy occurs or upon expiration of term**,seniority,duration of term,1 yr state resident; maximum age of 70; state bar member,"['Selection and retention methods and term lengths are prescribed by Article V of the Pennsylvania Constitution. ', '*If more than one open seat is being filled, all of the candidates run at large and the top vote getters fill the open seats. ', '**By tradition, interim appointees to the appellate courts do not stand for election. ']"
115,Pennsylvania,Superior Court:,15,1,statewide,partisan election*,10 yrs,retention election,10 yrs,gubernatorial appointment with two-thirds senate approval,next municipal election more than 10 mos after vacancy occurs or upon expiration of term**,peer vote,5 yrs,1 yr state resident; maximum age of 70; state bar member,"['Selection and retention methods and term lengths are prescribed by Article V of the Pennsylvania Constitution. ', '*If more than one open seat is being filled, all of the candidates run at large and the top vote getters fill the open seats. ', '**By tradition, interim appointees to the appellate courts do not stand for election. ']"
116,Pennsylvania,Commonwealth Court:,9,1,statewide,partisan election*,10 yrs,retention election,10 yrs,gubernatorial appointment with two-thirds senate approval,next municipal election more than 10 mos after vacancy occurs or upon expiration of term**,peer vote,5 yrs,1 yr state resident; maximum age of 70; state bar member,"['Selection and retention methods and term lengths are prescribed by Article V of the Pennsylvania Constitution. ', '*If more than one open seat is being filled, all of the candidates run at large and the top vote getters fill the open seats. ', '**By tradition, interim appointees to the appellate courts do not stand for election. ']"
117,Pennsylvania,Court of Common Pleas:,439,60,district,partisan election*,10 yrs,retention election,10 yrs,gubernatorial appointment with two-thirds senate approval,next municipal election more than 10 mos after vacancy occurs or upon expiration of term,seniority or peer vote,5 yrs,1 yr district resident; maximum age of 70; state bar member,"['Selection and retention methods and term lengths are prescribed by Article V of the Pennsylvania Constitution. ', '*If more than one open seat is being filled, all of the candidates run at large and the top vote getters fill the open seats. ', '**By tradition, interim appointees to the appellate courts do not stand for election. ']"
118,Rhode Island,Supreme Court:,5,1,statewide,gubernatorial appointment from nominating commission with house and senate confirmation,life,N/A,N/A,gubernatorial appointment from nominating commission with house and senate confirmation,N/A,gubernatorial appointment from nominating commission with house and senate confirmation,life,attorney; licensed in state; state bar member in good standing,[]
119,Rhode Island,Superior Court:,22,1,statewide,gubernatorial appointment from nominating commission with senate confirmation,life,N/A,N/A,gubernatorial appointment from nominating commission with senate confirmation,N/A,gubernatorial appointment from nominating commission with senate confirmation,life,attorney; licensed in state; state bar member in good standing,[]
120,South Carolina,Supreme Court:,5,--,statewide,legislative election,10 yrs,legislative reelection,10 yrs,legislative election*,upon completion of unexpired term,legislative election,10 yrs,U.S. citizen; 32-72 yrs of age; state resident 5 yrs; licensed attorney 8 yrs,"['Selection and retention methods and term lengths are prescribedby Article V of the South Carolina Constitution. ', '*If the length of the unexpired term is less than one year, the governor may fill the vacancy.']"
121,South Carolina,Court of Appeals:,9,--,statewide,legislative election,6 yrs,legislative reelection,6 yrs,legislative election*,upon completion of unexpired term,legislative election,6 yrs,U.S. citizen; 32-72 yrs old; state resident 5 yrs; licensed attorney 8 yrs,"['Selection and retention methods and term lengths are prescribedby Article V of the South Carolina Constitution. ', '*If the length of the unexpired term is less than one year, the governor may fill the vacancy.']"
122,South Carolina,Circuit Court:,46,16,circuit & at-large,legislative election,6 yrs,legislative reelection,6 yrs,legislative election*,upon completion of unexpired term,designation by chief justice of the supreme court,6 months,U.S. citizen; 32-72 yrs of age; state resident 5 yrs; licensed attorney 8 yrs,"['Selection and retention methods and term lengths are prescribedby Article V of the South Carolina Constitution. ', '*If the length of the unexpired term is less than one year, the governor may fill the vacancy.']"
123,South Dakota,Supreme Court:,5,5,district appointment; statewide retention,gubernatorial appointment from nominating commission,at least 3 yrs,retention election,8 yrs,gubernatorial appointment from nominating commission,next general election after 3 yrs in office,peer vote,4 yrs,U.S. citizen; state resident; voting resident within district; licensed to practice law in state; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the South Dakota Constitution. ', '*If more than two candidates file for a judicial position, the two candidates receiving the highest number of votes in the primary election run in the general election. If no more than two candidates file for a judicial position, no primary election is held for the position. ']"
124,South Dakota,Circuit Court:,39,7,circuit,nonpartisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,hold office for remainder of unexpired term,chief justice appoints,at pleasure of chief justice,U.S. citizen; state resident; voting resident within circuit; licensed to practice law in state; mandatory retirement age of 70,"['Selection and retention methods and term lengths are prescribed by Article V of the South Dakota Constitution. ', '*If more than two candidates file for a judicial position, the two candidates receiving the highest number of votes in the primary election run in the general election. If no more than two candidates file for a judicial position, no primary election is held for the position. ']"
125,Tennessee,Supreme Court:,5,1,statewide,gubernatorial appointment with joint House/Senate confirmation,until next general election at least 30 days after vacancy occurred,retention election,8 yrs,gubernatorial appointment with joint House/Senate confirmation,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,peer vote,4 yrs,authorized to practice law in state; minimum age of 35; state resident 5 yrs,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
126,Tennessee,Court of Appeals:,12,1,statewide,gubernatorial appointment with joint House/Senate confirmation,until next general election at least 30 days after vacancy occurred,retention election,8 yrs,gubernatorial appointment with joint House/Senate confirmation,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,peer vote,1 yr,authorized to practice law in state; minimum age of 30; state resident 5 yrs and district resident 1 yr,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
127,Tennessee,Court of Criminal Appeals:,12,1,statewide,gubernatorial appointment with joint House/Senate confirmation,until next general election at least 30 days after vacancy occurred,retention election,8 yrs,gubernatorial appointment with joint House/Senate confirmation,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,peer vote,1 yr,authorized to practice law in state; minimum age of 30; state resident 5 yrs and district resident 1 yr,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
128,Tennessee,Chancery Court:,35,27,district,partisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,a presiding judge is selected in each judicial district,1 yr,authorized to practice law in state; minimum age of 30; state resident 5 yrs and district resident 1 yr,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
129,Tennessee,Criminal Court:,33,13,district,partisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,a presiding judge is selected in each judicial district,1 yr,authorized to practice law in state; minimum age of 30; state resident 5 yrs and district resident 1 yr,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
130,Tennessee,Circuit Court:,85,31,district,partisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,a presiding judge is selected in each judicial district,1 yr,authorized to practice law in state; minimum age of 30; state resident 5 yrs and district resident 1 yr,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
131,Tennessee,Probate Court:,2,1,district,partisan election*,8 yrs,reelection,8 yrs,gubernatorial appointment from nominating commission,next general election at least 30 days after vacancy occurred; hold office for remainder of unexpired term,--,--,authorized to practice law in state; minimum age of 30; state resident 5 yrs and district resident 1 yr,"['Selection and retention methods and term lengths are prescribed by Article VI of the Tennessee Constitution and Title 17, Chapter 4 of the Tennessee Code. ', '*Per statute, each county legislative body has the discretion to require elections to be conducted in a nonpartisan manner. ']"
132,Texas,Supreme Court:,9,--,statewide,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment with senate approval,next general election; hold office for remainder of unexpired term,popular election,6 yrs,U.S. citizen; state resident; licensed in state; between 35 yrs and 74 yrs of age; 10 yrs practicing lawyer and/or judge*,"['Selection and retention methods and term lengths are prescribed by Article 5 of the Texas Constitution.', '*In 2007, Texas voters approved a constitutional amendment allowing judges who reached mandatory retirement age to finish their term of office.']"
133,Texas,Court of Criminal Appeals:,9,--,statewide,partisan election,6 yrs,reelection,6 yrs,gubernatorial appointment with senate approval,next general election; hold office for remainder of unexpired term,popular election,6 yrs,U.S. citizen; state resident; licensed in state; between 35 yrs and 74 yrs of age; 10 yrs practicing lawyer and/or judge*,"['Selection and retention methods and term lengths are prescribed by Article 5 of the Texas Constitution.', '*In 2007, Texas voters approved a constitutional amendment allowing judges who reached mandatory retirement age to finish their term of office.']"
